match_date,home_team_name,away_team_name,home_team_score,away_team_score,year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,home_winner,draw,away_winner,rank_diff,team_score_diff,score_diff,best_rank_winner
1954-06-16,Uruguay,Czechoslovakia,2,0,1954,7.0,1940.0,24.0,1684.0,2,2,1,0,0,-17.0,2,256.0,1
1954-06-17,Switzerland,Italy,2,1,1954,20.0,1722.0,10.0,1848.0,3,3,1,0,0,10.0,1,-126.0,0
1954-06-17,Hungary,South Korea,9,0,1954,1.0,2192.0,45.0,1587.0,2,0,1,0,0,-44.0,9,605.0,1
1954-06-17,West Germany,Turkey,4,1,1954,3.0,2037.0,30.0,1653.0,0,0,1,0,0,-27.0,3,384.0,1
1954-06-17,England,Belgium,4,4,1954,5.0,1997.0,15.0,1780.0,1,3,0,1,0,-10.0,0,217.0,0
1954-06-19,Uruguay,Scotland,7,0,1954,7.0,1940.0,13.0,1802.0,2,0,1,0,0,-6.0,7,138.0,1
1954-06-19,Brazil,Yugoslavia,1,1,1954,4.0,2010.0,8.0,1937.0,4,2,0,1,0,-4.0,0,73.0,0
1954-06-19,Austria,Czechoslovakia,5,0,1954,6.0,1946.0,24.0,1684.0,1,2,1,0,0,-18.0,5,262.0,1
1954-06-19,France,Mexico,3,2,1954,13.0,1802.0,27.0,1655.0,3,2,1,0,0,-14.0,1,147.0,1
1954-06-20,Hungary,West Germany,8,3,1954,1.0,2192.0,3.0,2037.0,2,0,1,0,0,-2.0,5,155.0,1
1954-06-20,Turkey,South Korea,7,0,1954,30.0,1653.0,45.0,1587.0,0,0,1,0,0,-15.0,7,66.0,1
1954-06-20,Italy,Belgium,4,1,1954,10.0,1848.0,15.0,1780.0,3,3,1,0,0,-5.0,3,68.0,1
1954-06-20,England,Switzerland,2,0,1954,5.0,1997.0,20.0,1722.0,1,3,1,0,0,-15.0,2,275.0,1
1954-06-23,West Germany,Turkey,7,2,1954,3.0,2037.0,30.0,1653.0,0,0,1,0,0,-27.0,5,384.0,1
1954-06-23,Switzerland,Italy,4,1,1954,20.0,1722.0,10.0,1848.0,3,3,1,0,0,10.0,3,-126.0,0
1954-06-26,Austria,Switzerland,7,5,1954,6.0,1946.0,20.0,1722.0,1,3,1,0,0,-14.0,2,224.0,1
1954-06-26,Uruguay,England,4,2,1954,7.0,1940.0,5.0,1997.0,2,1,1,0,0,2.0,2,-57.0,0
1954-06-27,Hungary,Brazil,4,2,1954,1.0,2192.0,4.0,2010.0,2,4,1,0,0,-3.0,2,182.0,1
1954-06-27,West Germany,Yugoslavia,2,0,1954,3.0,2037.0,8.0,1937.0,0,2,1,0,0,-5.0,2,100.0,1
1954-06-30,Hungary,Uruguay,4,2,1954,1.0,2192.0,7.0,1940.0,2,2,1,0,0,-6.0,2,252.0,1
1954-06-30,West Germany,Austria,6,1,1954,3.0,2037.0,6.0,1946.0,0,1,1,0,0,-3.0,5,91.0,1
