year,home_rank,home_score,away_rank,away_score,home_n_participation,away_n_participation,rank_diff,score_diff,participation_diff,target
1970,9.0,1854.0,39.0,1668.0,5,0,-30.0,186.0,5,1
1970,2.0,2039.0,18.0,1804.0,5,3,-16.0,235.0,2,1
1970,22.0,1759.0,28.0,1731.0,1,2,-6.0,28.0,-1,1
1970,24.0,1740.0,68.0,1492.0,4,0,-44.0,248.0,4,1
1970,4.0,2023.0,11.0,1848.0,6,4,-7.0,175.0,2,1
1970,1.0,2177.0,14.0,1821.0,8,5,-13.0,356.0,3,1
1970,3.0,2032.0,40.0,1642.0,4,0,-37.0,390.0,4,1
1970,5.0,1962.0,24.0,1740.0,3,4,-19.0,222.0,-1,1
1970,9.0,1854.0,4.0,2023.0,5,6,5.0,-169.0,-1,0
1970,18.0,1804.0,14.0,1821.0,3,5,4.0,-17.0,-2,1
1970,22.0,1759.0,40.0,1642.0,1,0,-18.0,117.0,1,1
1970,29.0,1730.0,68.0,1492.0,6,0,-39.0,238.0,6,1
1970,11.0,1848.0,39.0,1668.0,4,0,-28.0,180.0,4,0
1970,1.0,2177.0,2.0,2039.0,8,5,-1.0,138.0,3,1
1970,3.0,2032.0,28.0,1731.0,4,2,-25.0,301.0,2,1
1970,5.0,1962.0,68.0,1492.0,3,0,-63.0,470.0,3,1
1970,11.0,1848.0,9.0,1854.0,4,5,2.0,-6.0,-1,1
1970,1.0,2177.0,18.0,1804.0,8,3,-17.0,373.0,5,1
1970,3.0,2032.0,22.0,1759.0,4,1,-19.0,273.0,3,1
1970,29.0,1730.0,24.0,1740.0,6,4,5.0,-10.0,2,1
1970,4.0,2023.0,39.0,1668.0,6,0,-35.0,355.0,6,0
1970,2.0,2039.0,14.0,1821.0,5,5,-12.0,218.0,0,1
1970,28.0,1731.0,40.0,1642.0,2,0,-12.0,89.0,2,0
1970,1.0,2177.0,22.0,1759.0,8,1,-21.0,418.0,7,1
1970,4.0,2023.0,29.0,1730.0,6,6,-25.0,293.0,0,1
1970,5.0,1962.0,9.0,1854.0,3,5,-4.0,108.0,-2,-1
1970,3.0,2032.0,2.0,2039.0,4,5,1.0,-7.0,-1,1
1970,1.0,2177.0,9.0,1854.0,8,5,-8.0,323.0,3,1
1970,4.0,2023.0,3.0,2032.0,6,4,1.0,-9.0,2,1
1970,3.0,2032.0,9.0,1854.0,4,5,-6.0,178.0,-1,1
1970,1.0,2177.0,4.0,2023.0,8,6,-3.0,154.0,2,1
1974,3.0,2036.0,8.0,1909.0,9,5,-5.0,127.0,4,0
1974,1.0,2128.0,23.0,1770.0,5,4,-22.0,358.0,1,1
1974,10.0,1892.0,33.0,1680.0,0,0,-23.0,212.0,0,1
1974,29.0,1708.0,11.0,1879.0,0,2,18.0,-171.0,-2,-1
1974,18.0,1834.0,27.0,1741.0,5,3,-9.0,93.0,2,0
1974,30.0,1699.0,2.0,2091.0,6,2,28.0,-392.0,4,-1
1974,6.0,1940.0,54.0,1548.0,7,0,-48.0,392.0,7,1
1974,4.0,2031.0,15.0,1857.0,1,5,-11.0,174.0,-4,1
1974,33.0,1680.0,1.0,2128.0,0,5,32.0,-448.0,-5,-1
1974,23.0,1770.0,10.0,1892.0,4,0,13.0,-122.0,4,0
1974,11.0,1879.0,3.0,2036.0,2,9,8.0,-157.0,-7,0
1974,8.0,1909.0,29.0,1708.0,5,0,-21.0,201.0,5,1
1974,27.0,1741.0,30.0,1699.0,3,6,-3.0,42.0,-3,0
1974,2.0,2091.0,18.0,1834.0,2,5,-16.0,257.0,-3,0
1974,15.0,1857.0,6.0,1940.0,5,7,9.0,-83.0,-2,0
1974,54.0,1548.0,4.0,2031.0,0,1,50.0,-483.0,-1,-1
1974,33.0,1680.0,23.0,1770.0,0,4,10.0,-90.0,-4,0
1974,11.0,1879.0,8.0,1909.0,2,5,3.0,-30.0,-3,0
1974,29.0,1708.0,3.0,2036.0,0,9,26.0,-328.0,-9,-1
1974,10.0,1892.0,1.0,2128.0,0,5,9.0,-236.0,-5,1
1974,27.0,1741.0,2.0,2091.0,3,2,25.0,-350.0,1,-1
1974,18.0,1834.0,30.0,1699.0,5,6,-12.0,135.0,-1,1
1974,15.0,1857.0,54.0,1548.0,5,0,-39.0,309.0,5,1
1974,4.0,2031.0,6.0,1940.0,1,7,-2.0,91.0,-6,1
1974,8.0,1909.0,1.0,2128.0,5,5,7.0,-219.0,0,-1
1974,3.0,2036.0,10.0,1892.0,9,0,-7.0,144.0,9,1
1974,2.0,2091.0,15.0,1857.0,2,5,-13.0,234.0,-3,1
1974,18.0,1834.0,4.0,2031.0,5,1,14.0,-197.0,4,-1
1974,15.0,1857.0,3.0,2036.0,5,9,12.0,-179.0,-4,-1
1974,10.0,1892.0,2.0,2091.0,0,2,8.0,-199.0,-2,-1
1974,4.0,2031.0,8.0,1909.0,1,5,-4.0,122.0,-4,1
1974,1.0,2128.0,18.0,1834.0,5,5,-17.0,294.0,0,1
1974,4.0,2031.0,1.0,2128.0,1,5,3.0,-97.0,-4,-1
1974,15.0,1857.0,10.0,1892.0,5,0,5.0,-35.0,5,0
1974,2.0,2091.0,3.0,2036.0,2,9,-1.0,55.0,-7,1
1974,18.0,1834.0,8.0,1909.0,5,5,10.0,-75.0,0,1
1974,3.0,2036.0,4.0,2031.0,9,1,-1.0,5.0,8,-1
1974,2.0,2091.0,1.0,2128.0,2,5,1.0,-37.0,-3,-1
1978,3.0,2039.0,9.0,1932.0,6,2,-6.0,107.0,4,0
1978,6.0,1995.0,15.0,1887.0,8,6,-9.0,108.0,2,1
1978,29.0,1723.0,32.0,1703.0,0,7,-3.0,20.0,-7,1
1978,3.0,2039.0,24.0,1772.0,6,6,-21.0,267.0,0,1
1978,12.0,1892.0,7.0,1964.0,3,4,5.0,-72.0,-1,1
1978,1.0,2143.0,25.0,1742.0,10,6,-24.0,401.0,4,0
1978,2.0,2068.0,26.0,1727.0,3,0,-24.0,341.0,3,1
1978,20.0,1809.0,14.0,1888.0,2,3,6.0,-79.0,-1,1
1978,6.0,1995.0,24.0,1772.0,8,6,-18.0,223.0,2,1
1978,9.0,1932.0,29.0,1723.0,2,0,-20.0,209.0,2,1
1978,3.0,2039.0,32.0,1703.0,6,7,-29.0,336.0,-1,1
1978,3.0,2039.0,15.0,1887.0,6,6,-12.0,152.0,0,1
1978,12.0,1892.0,25.0,1742.0,3,6,-13.0,150.0,-3,1
1978,1.0,2143.0,7.0,1964.0,10,4,-6.0,179.0,6,0
1978,2.0,2068.0,20.0,1809.0,3,2,-18.0,259.0,1,0
1978,14.0,1888.0,26.0,1727.0,3,0,-12.0,161.0,3,0
1978,15.0,1887.0,24.0,1772.0,6,6,-9.0,115.0,0,1
1978,9.0,1932.0,32.0,1703.0,2,7,-23.0,229.0,-5,1
1978,3.0,2039.0,29.0,1723.0,6,0,-26.0,316.0,6,0
1978,3.0,2039.0,6.0,1995.0,6,8,-3.0,44.0,-2,-1
1978,1.0,2143.0,12.0,1892.0,10,3,-11.0,251.0,7,1
1978,7.0,1964.0,25.0,1742.0,4,6,-18.0,222.0,-2,1
1978,20.0,1809.0,26.0,1727.0,2,0,-6.0,82.0,2,1
1978,14.0,1888.0,2.0,2068.0,3,3,12.0,-180.0,0,1
1978,12.0,1892.0,2.0,2068.0,3,3,10.0,-176.0,0,-1
1978,6.0,1995.0,3.0,2039.0,8,6,3.0,-44.0,2,0
1978,1.0,2143.0,20.0,1809.0,10,2,-19.0,334.0,8,1
1978,3.0,2039.0,9.0,1932.0,6,2,-6.0,107.0,4,1
1978,20.0,1809.0,9.0,1932.0,2,2,11.0,-123.0,0,-1
1978,6.0,1995.0,12.0,1892.0,8,3,-6.0,103.0,5,1
1978,2.0,2068.0,3.0,2039.0,3,6,-1.0,29.0,-3,0
1978,3.0,2039.0,1.0,2143.0,6,10,2.0,-104.0,-4,0
1978,12.0,1892.0,3.0,2039.0,3,6,9.0,-147.0,-3,1
1978,6.0,1995.0,2.0,2068.0,8,3,4.0,-73.0,5,-1
1978,1.0,2143.0,9.0,1932.0,10,2,-8.0,211.0,8,1
1978,3.0,2039.0,20.0,1809.0,6,2,-17.0,230.0,4,1
1978,1.0,2143.0,6.0,1995.0,10,8,-5.0,148.0,2,1
1978,3.0,2039.0,2.0,2068.0,6,3,1.0,-29.0,3,1
1982,7.0,1941.0,10.0,1901.0,7,5,-3.0,40.0,2,-1
1982,2.0,2019.0,6.0,1986.0,9,3,-4.0,33.0,6,0
1982,1.0,2115.0,5.0,2008.0,11,4,-4.0,107.0,7,1
1982,26.0,1743.0,36.0,1679.0,3,0,-10.0,64.0,3,0
1982,18.0,1817.0,59.0,1557.0,7,1,-41.0,260.0,6,1
1982,17.0,1830.0,57.0,1564.0,4,0,-40.0,266.0,4,1
1982,4.0,2012.0,30.0,1728.0,7,0,-26.0,284.0,7,-1
1982,2.0,2019.0,8.0,1921.0,6,7,-6.0,98.0,-1,1
1982,16.0,1837.0,41.0,1623.0,5,0,-25.0,214.0,5,0
1982,31.0,1702.0,9.0,1910.0,5,4,22.0,-208.0,1,-1
1982,13.0,1866.0,37.0,1675.0,6,0,-24.0,191.0,6,0
1982,15.0,1855.0,23.0,1767.0,6,1,-8.0,88.0,5,0
1982,2.0,2019.0,26.0,1743.0,9,3,-24.0,276.0,6,0
1982,7.0,1941.0,18.0,1817.0,7,7,-11.0,124.0,0,1
1982,1.0,2115.0,17.0,1830.0,11,4,-16.0,285.0,7,1
1982,6.0,1986.0,36.0,1679.0,3,0,-30.0,307.0,3,0
1982,10.0,1901.0,59.0,1557.0,5,1,-49.0,344.0,4,1
1982,5.0,2008.0,57.0,1564.0,4,0,-52.0,444.0,4,1
1982,4.0,2012.0,31.0,1702.0,7,5,-27.0,310.0,2,1
1982,2.0,2019.0,13.0,1866.0,6,6,-11.0,153.0,0,1
1982,16.0,1837.0,15.0,1855.0,5,6,1.0,-18.0,-1,1
1982,30.0,1728.0,9.0,1910.0,0,4,21.0,-182.0,-4,-1
1982,8.0,1921.0,37.0,1675.0,7,0,-29.0,246.0,7,1
1982,41.0,1623.0,23.0,1767.0,0,1,18.0,-144.0,-1,0
1982,6.0,1986.0,26.0,1743.0,3,3,-20.0,243.0,0,1
1982,10.0,1901.0,18.0,1817.0,5,7,-8.0,84.0,-2,0
1982,5.0,2008.0,17.0,1830.0,4,4,-12.0,178.0,0,0
1982,2.0,2019.0,36.0,1679.0,9,0,-34.0,340.0,9,0
1982,7.0,1941.0,59.0,1557.0,7,1,-52.0,384.0,6,1
1982,1.0,2115.0,57.0,1564.0,11,0,-56.0,551.0,11,1
1982,30.0,1728.0,31.0,1702.0,0,5,-1.0,26.0,-5,1
1982,8.0,1921.0,13.0,1866.0,7,6,-5.0,55.0,1,0
1982,41.0,1623.0,15.0,1855.0,0,6,26.0,-232.0,-6,-1
1982,4.0,2012.0,9.0,1910.0,7,4,-5.0,102.0,3,1
1982,2.0,2019.0,37.0,1675.0,6,0,-35.0,344.0,6,1
1982,16.0,1837.0,23.0,1767.0,5,1,-7.0,70.0,4,-1
1982,9.0,1910.0,8.0,1921.0,4,7,1.0,-11.0,-3,-1
